t,flight_t,mode,scenario,x,y,z,xd,yd,zd,vx,vy,vz,vxd,vyd,vzd,pos_err,vel_err,att_err_deg,wx,wy,wz,wspx,wspy,wspz,thrust_norm,taux_norm,tauy_norm,tauz_norm,armed,nav_state,failsafe,preflight_ok
0,0,rate,figure8,-0.01166741922,-0.02480771393,0.09803242981,0,0,-0,-0.0057614916,-0.005060952157,0.02218529023,0,0,-0,0.1017934607,0.02347328534,0.7561004046,0.0006088226219,0.0002797578054,-0.0009583089268,-7.930308686,-10.66307623,0.03967960941,0.6331562993,0,0,0,0,0,0,0
0.01000523567,0,rate,figure8,-0.01193280797,-0.02481341735,0.09789319336,0,0,-0,-0.005914706737,-0.005073412787,0.02214578725,0,0,-0,0.1016915675,0.0234767793,0.7611138182,0.0004571336613,0.0005338192568,0.0005904352874,-5.966400267,-8.015500339,0.03106385594,0.6330957556,0,0,0,0,0,0,0
0.02000999451,0,rate,figure8,-0.01220485196,-0.02480490692,0.09769320488,0,0,-0,-0.006083354354,-0.005060101859,0.02203764766,0,0,-0,0.1015293263,0.02341516059,0.7652512231,-0.0002363753883,-0.0004579552624,0.0004513331514,-4.493880791,-6.029339592,0.02436747978,0.6329958859,0,0,0,0,0,0,0
0.02999782562,0,rate,figure8,-0.01273822039,-0.02479121089,0.09733988345,0,0,-0,-0.006465230603,-0.004985527135,0.02199651115,0,0,-0,0.101251762,0.02346276178,0.773225178,-0.0003106007352,-0.0008072796627,0.0005960111739,-3.394965518,-4.538411475,0.01990573998,0.6328574737,0,0,0,0,0,0,0
0.04001307487,0,rate,figure8,-0.01299982518,-0.02478559688,0.09718604386,0,0,-0,-0.00667647738,-0.004945432767,0.02193675563,0,0,-0,0.1011357918,0.0234574914,0.7778065755,0.0003911032109,9.12262476e-05,-0.0001668216282,-2.566371991,-3.421122006,0.01557885167,0.6327865455,0,0,0,0,0,0,0
0.0499997139,0,rate,figure8,-0.01328349952,-0.02477533743,0.09697659314,0,0,-0,-0.006839442533,-0.004907255527,0.02183970064,0,0,-0,0.1009689473,0.02340580387,0.78221701,0.0005148948985,-0.0001088529243,0.0008268885431,-1.945065087,-2.583065117,0.01213007604,0.6326860241,0,0,0,0,0,0,0
0.06001234055,0,rate,figure8,-0.01356296614,-0.02476594783,0.09678286314,0,0,-0,-0.006980045699,-0.004868352786,0.02179941349,0,0,-0,0.1008178001,0.02340163082,0.7862850944,-0.0001458977058,0.0001589083113,-0.000248329161,-1.479025729,-1.954508478,0.009414255352,0.6326056134,0,0,0,0,0,0,0
0.07000756264,0,rate,figure8,-0.01410907786,-0.02474855259,0.09644427896,0,0,-0,-0.007226265967,-0.004692976363,0.02168010548,0,0,-0,0.1005636906,0.02332959323,0.7930905061,0.0001464217639,0.0005363433156,-0.0002576463157,-1.133937813,-1.481196953,0.007522820253,0.6324526344,0,0,0,0,0,0,0
0.08001351357,0,rate,figure8,-0.01440311503,-0.02473903261,0.09624913335,0,0,-0,-0.007442541886,-0.00465776911,0.0216338709,0,0,-0,0.1004159605,0.02334760401,0.7987760969,0.0008551270585,0.0003715002676,-0.0002348491689,-0.8724078967,-1.127837736,0.005848664949,0.6323701368,0,0,0,0,0,0,0
0.0900144577,0,rate,figure8,-0.01469310187,-0.02472987771,0.09606948495,0,0,-0,-0.007634704933,-0.004554170649,0.02158631198,0,0,-0,0.100283598,0.0233451934,0.803101391,0.0004531565064,0.0002114540694,0.000344975997,-0.6762154381,-0.8621061243,0.004515130033,0.6322929539,0,0,0,0,0,0,0
0.1000196934,0,rate,figure8,-0.01526192017,-0.02471260168,0.09575350583,0,0,-0,-0.008070373908,-0.004439694341,0.02140091546,0,0,-0,0.1000618447,0.02329894855,0.8130550806,0.0004383224586,-0.0002874920319,0.0002871195611,-0.5351169688,-0.6618395882,0.003574505871,0.6321314882,0,0,0,0,0,0,0
0.1100242138,0,rate,figure8,-0.01556434296,-0.02471215464,0.0955657959,0,0,-0,-0.008197855204,-0.004366679117,0.02134222351,0,0,-0,0.09992877816,0.02327580763,0.8173483453,0.0001034498055,-0.0005363820237,0.0009324230487,-0.423702533,-0.5127555801,0.002699409537,0.6320486212,0,0,0,0,0,0,0
0.1200149059,0,rate,figure8,-0.0158622209,-0.02471170574,0.09539470077,0,0,-0,-0.008393886499,-0.004267017823,0.02123078331,0,0,-0,0.09981196014,0.02322522189,0.8218636495,-0.0006136770244,-0.0004652733624,0.001022857265,-0.3409662697,-0.4005389942,0.002013884562,0.6319584258,0,0,0,0,0,0,0
0.1300110817,0,rate,figure8,-0.01615589298,-0.02471107803,0.09523779154,0,0,-0,-0.008576128632,-0.004193244036,0.02112862095,0,0,-0,0.0997090126,0.02318516554,0.8265820838,-0.0005881557008,-0.0005139695131,-0.0006074046833,-0.2790389803,-0.3165417878,0.001517008284,0.631875724,0,0,0,0,0,0,0
0.1400055885,0,rate,figure8,-0.0164455343,-0.02471045591,0.09509468079,0,0,-0,-0.00876145903,-0.004129040055,0.0210547559,0,0,-0,0.09961957912,0.02317573908,0.8318015832,-0.0002768863633,0.0002016776853,0.0004682208528,-0.2328820387,-0.2535837016,0.001101475704,0.6318051435,0,0,0,0,0,0,0
0.1500051022,0,rate,figure8,-0.01704329252,-0.02475493029,0.09473066032,0,0,-0,-0.009135986678,-0.004105977714,0.02093432657,0,0,-0,0.09938399468,0.02320713974,0.8452023662,-0.0002897838131,0.0006616852479,-0.0001173284618,-0.204301893,-0.2066807191,0.0007996539138,0.6316426712,0,0,0,0,0,0,0
0.1600093842,0,rate,figure8,-0.01733615994,-0.02477703243,0.09457035363,0,0,-0,-0.009354643524,-0.004082258791,0.0208120849,0,0,-0,0.0992874391,0.02318010074,0.8520304148,-0.0001643803698,5.782307926e-05,-0.0002581630542,-0.1781681805,-0.171702232,0.0005619341342,0.6315535838,0,0,0,0,0,0,0
0.1700074673,0,rate,figure8,-0.01762499101,-0.02479892224,0.09442386031,0,0,-0,-0.009480001405,-0.004065017682,0.0207551606,0,0,-0,0.09920429552,0.02317696026,0.8578219301,-0.0004912078148,0.0004938303609,-0.0001987419964,-0.1579032275,-0.1456060641,0.0003743381148,0.6314860692,0,0,0,0,0,0,0
0.1800150871,0,rate,figure8,-0.01790847629,-0.02485829219,0.09424057603,0,0,-0,-0.00962600112,-0.004150277935,0.02066380344,0,0,-0,0.09909558206,0.02317061668,0.8658960433,-0.0001099355359,0.0005129806814,7.411869774e-06,-0.1432791386,-0.1274619389,0.0002360374135,0.6313964674,0,0,0,0,0,0,0
0.1900122166,0,rate,figure8,-0.01846267097,-0.02497549355,0.09392215312,0,0,-0,-0.009836793877,-0.004140885547,0.02054141648,0,0,-0,0.09892429602,0.02314863361,0.8780371387,-0.0001620836265,-0.0005893682246,0.0003706240968,-0.1365071167,-0.1132126214,0.0001272421216,0.631250113,0,0,0,0,0,0,0
0.2000253201,0,rate,figure8,-0.01873334497,-0.02503314428,0.09378366172,0,0,-0,-0.009939209558,-0.004156884737,0.02045449242,0,0,-0,0.09885834175,0.02311825767,0.8839563461,-0.0007607817533,-0.0009446059121,-0.0005819343496,-0.1272949777,-0.1025168024,5.62964187e-05,0.63117797,0,0,0,0,0,0,0
