run,mode,scenario,csv_samples,flight_duration_s,armed_offboard_confirmed,pos_rmse_m,pos_max_m,vel_rmse_mps,att_rmse_deg,att_max_deg,rate_tracking_rmse_rads,direct_tau_norm_rms,thrust_norm_mean,ulog_count,primary_ulog,primary_ulog_bytes,px4_torque_rms,actuator_sat_pct
aggressive_rate,rate,aggressive,2705,25.02044821,True,0.43452337450689166,0.5893347693432864,0.3667925594758172,2.6098780939769735,20.38151653,0.5269031748071241,0.0,0.7439147399531336,1,07_42_11.ulg,10602884,0.0673919477455296,27.70083102493075
aggressive_torque,torque,aggressive,2705,25.02049422,True,0.4282130620910893,0.5403202134760793,0.3915626375787253,2.6890230711616514,21.3151581,0.5691969015857928,0.0945343588060799,0.7420945807380477,1,07_43_00.ulg,9605253,0.1043291294242695,30.985915492957744
circle_rate,rate,circle,2705,25.02049875,True,0.377782096105878,0.40501115825462064,0.04027732332333493,1.3092775573670974,14.4480439,0.34014362246405816,0.0,0.7282923398289123,1,07_38_55.ulg,10582488,0.05691397410216653,25.13812154696133
circle_torque,torque,circle,2704,25.02058339,True,0.37390614794354926,0.44774820803186804,0.05406384018204408,1.336110825497853,14.77257794,0.44422173422443817,0.06371985763535472,0.7276854360065446,1,07_39_45.ulg,9501228,0.04853466526819057,28.205128205128204
figure8_rate,rate,figure8,2705,25.02059984,True,0.38153566589694227,0.465647327123643,0.15808696977535347,2.108431739048368,20.65585385,0.48609327039915917,0.0,0.7295219555521909,1,07_40_34.ulg,10286761,0.08995737278157545,21.714285714285715
figure8_torque,torque,figure8,2704,25.01053786,True,0.36574462539103003,0.8038760578790893,0.2505235036717542,5.485888425678554,22.82491698,2.195019547859054,0.31100990552566227,0.6950051554772474,1,07_41_22.ulg,9201813,0.27819849750462233,51.42857142857142
hover_rate,rate,hover,2705,25.02056003,True,0.37700721792584924,0.3932812146982903,0.01568050750474484,0.048610005002511426,0.1613461003,0.00630379170899223,0.0,0.7283688556347199,1,07_37_14.ulg,10766637,0.007695900074195833,28.532608695652172
hover_torque,torque,hover,2705,25.02053404,True,0.3736161377728798,0.3845507326649595,0.017201097152971356,0.030243604407918404,0.07500589351,0.007298607908938387,0.0012214705708630295,0.7282586645126525,1,07_38_04.ulg,10007349,0.008840262381764715,31.978319783197833
