t,flight_t,mode,scenario,x,y,z,xd,yd,zd,vx,vy,vz,vxd,vyd,vzd,pos_err,vel_err,att_err_deg,wx,wy,wz,wspx,wspy,wspz,thrust_norm,taux_norm,tauy_norm,tauz_norm,armed,nav_state,failsafe,preflight_ok
0,0,rate,circle,-0.02566900104,0.003811064875,-0.009910732508,0,0,-0,-0.01010903064,-0.01358420867,-0.003022101941,0,0,-0,0.02777848896,0.01720047459,0.8524976766,-9.599594705e-06,-0.0007342981989,-0.0001364743657,-14.72275112,-2.780661031,0.001738967143,0.587664305,0,0,0,0,255,0,0
0.009925603867,0,rate,circle,-0.02560699917,0.00358518865,-0.009605616331,0,0,-0,-0.01001682039,-0.01370128244,-0.002871082164,0,0,-0,0.02758332557,0.01721351051,0.8512090244,-0.0004574723716,0.0008991790237,0.0004357191501,-11.0661452,-2.094765327,-0.0003688799495,0.5878130559,0,0,0,0,0,0,0
0.01995038986,0,rate,circle,-0.02553175762,0.003355042776,-0.009279936552,0,0,-0,-0.00991852209,-0.01387002785,-0.00276383711,0,0,-0,0.02737232511,0.01727407157,0.8500643689,-0.0002374057221,0.001067290199,-0.0005249496317,-8.323441251,-1.581262578,-0.001663421161,0.5879581215,0,0,0,0,0,0,0
0.02992892265,0,rate,circle,-0.02539040707,0.002900309162,-0.008657753468,0,0,-0,-0.009823733941,-0.01419522241,-0.002507853089,0,0,-0,0.02698223971,0.01744417997,0.8506615405,0.0005707618548,0.001208192902,-0.0002046221489,-6.265900476,-1.20117549,-0.003169675299,0.5882480979,0,0,0,0,0,0,0
0.0399274826,0,rate,circle,-0.02532496676,0.002675878117,-0.008360370994,0,0,-0,-0.00982670486,-0.01433824282,-0.002397156786,0,0,-0,0.02680317273,0.01754695689,0.8516184721,-0.0002969665511,0.0004535015032,-0.0007234581863,-4.724215543,-0.9114129027,-0.002987534537,0.5883837908,0,0,0,0,0,0,0
0.04992604256,0,rate,circle,-0.02523185499,0.002444554586,-0.008051469922,0,0,-0,-0.009794357233,-0.01450643875,-0.002270594239,0,0,-0,0.02659790445,0.01764998008,0.8516937749,5.140817666e-05,-0.0004643795837,0.000164162906,-3.567247438,-0.6946888459,-0.002722039934,0.5885276643,0,0,0,0,0,0,0
0.05997276306,0,rate,circle,-0.02514289506,0.002215735847,-0.00775167346,0,0,-0,-0.009752185084,-0.01467540301,-0.002147417283,0,0,-0,0.02640384629,0.01775060474,0.8519379318,0.0003548130335,-8.876740321e-05,0.0009111235267,-2.699432392,-0.532377443,-0.002410838906,0.5886673575,0,0,0,0,0,0,0
0.06994104385,0,rate,circle,-0.02505783737,0.001988865202,-0.007460817695,0,0,-0,-0.00973049365,-0.01481641922,-0.002064708387,0,0,-0,0.02622049959,0.01784577838,0.8524459373,0.0003654481552,-0.0008404724649,-0.0001765804045,-2.048740893,-0.4105744168,-0.002015373364,0.5887935706,0,0,0,0,0,0,0
0.0800921917,0,rate,circle,-0.024847636,0.001541920588,-0.006868392229,0,0,-0,-0.009528947063,-0.01502460055,-0.001842231723,0,0,-0,0.02582551734,0.01788667861,0.8494350467,0.0001282677986,-0.0007421299815,-0.000587167684,-1.557476774,-0.3232718294,-0.001779085125,0.5890643886,0,0,0,0,0,0,0
0.08994460106,0,rate,circle,-0.02472261339,0.001321831602,-0.006576135755,0,0,-0,-0.009398747236,-0.01512965001,-0.001734396443,0,0,-0,0.02561640906,0.01789555504,0.8474150086,0.0009458794957,0.0002159897849,-0.0006574850995,-1.190285954,-0.2542373689,-0.00140612338,0.5891974578,0,0,0,0,0,0,0
